rank_brand,brand,num_products,total_ratings,brand_weighted_score,simple_mean_product_rating
3747,The Gem Pen,1,174.0,4.36225458755618,4.4
3748,SIVEL + SHARP,1,174.0,4.36225458755618,4.4
3749,INRENG,2,263.0,4.3622284072258175,4.4
3750,SUNCHIO,5,184.0,4.362091644873587,4.34
3751,MUYASEA,23,2856.0,4.362013363010785,4.2
3752,Shappy,2,218.0,4.361794244238418,4.25
3753,URBAN JEWELRY,55,11009.0,4.361547847385993,3.9545454545454546
3754,Jovivi,249,48367.0,4.361459423686194,4.234136546184739
3755,Fullrainbow,2,69.0,4.3614294683092965,4.55
3756,IrbingNii,1,169.0,4.3613062103591,4.4
3757,Zuo Bao,143,10179.0,4.36127494684886,4.327972027972028
3758,Ancient Tribe,13,706.0,4.361231183683321,3.9538461538461536
3759,Tacobear,3,264.0,4.361229227413548,4.5
3760,OPALTOP,7,1021.0,4.361186685904345,3.9142857142857146
3761,CONNEXX HENRY INC,1,168.0,4.361110787179095,4.4
3762,BioMag,4,527.0,4.361105146158492,4.375
3763,CHERAINTI,3,821.0,4.361056381885539,4.366666666666667
3764,Hikeiyu,1,47.0,4.361038128070919,4.5
3765,Vichona,1,47.0,4.361038128070919,4.5
3766,Giftgarden,2,158.0,4.360655665275148,3.65
3767,Center Gifts,10,202.0,4.360635270575392,4.7
3768,Udobuy,18,1579.0,4.360620268233799,4.233333333333333
3769,macoking,2,246.0,4.360600683352389,4.4
3770,Laumoi,2,58.0,4.360565291248533,4.15
3771,Xasla,1,165.0,4.360512491597235,4.4
3772,UNQJRY,22,2254.0,4.360318323931733,4.140909090909091
3773,Creatique,1,164.0,4.3603089477394885,4.4
3774,Miles Kimball,1,164.0,4.3603089477394885,4.4
3775,FireKylin,1,162.0,4.3598954992784416,4.4
3776,Yomlry,3,313.0,4.359893152810643,4.5
3777,WUZHOUGEMS,27,509.0,4.359823516092662,4.485185185185185
3778,UJOY,65,1652.0,4.359626665120963,4.218461538461538
3779,Tina&Co,4,2493.0,4.359607386692697,4.4
3780,Step Forward,2,224.0,4.359575948084045,4.45
3781,GLAMFORT,2,42.0,4.359492998292806,4.55
3782,Kingray Jewelry,2,182.0,4.359485471035018,4.6
3783,Ornaland,4,213.0,4.359470904067105,3.725
3784,Fullgaden,3,310.0,4.359446692919783,4.366666666666667
3785,MYETCHEY,3,35.0,4.359368269364767,4.6000000000000005
3786,Homiegear,3,91.0,4.359335729369702,4.533333333333334
3787,HM&DX,1,159.0,4.359258919901909,4.4
3788,Milo Bruno,18,2054.0,4.359212223142448,4.45
3789,Tstarer,1,46.0,4.359209682387641,4.5
3790,Kanpura,1,46.0,4.359209682387641,4.5
3791,Orglace,1,46.0,4.359209682387641,4.5
3792,kpajewelry,2,317.0,4.359150907776003,4.4
3793,LORIINI,1,158.0,4.359042212029047,4.4
